Park Name,County,Park Identifier,MH Spaces,Phone,Address,Operater
GOLDEN PACIFIC PROPERTIES,LOS ANGELES,19-0528-MP,41.0,(626) 374-8888,"8834 E GARVEY AVE  #12, ROSEMEAD, CA 91770",CHUONG
PETES TP,LOS ANGELES,19-0535-MP,12.0,(310) 676-7026,"14306 FIRMONA, LAWNDALE, CA 90260",WILSON
J & E TRAILER PARK,LOS ANGELES,19-0537-MP,16.0,(626) 442-7837,"2150 DURFEE AVE, EL MONTE, CA 91732",GOMEZ
"EL GARDENA PARKS, LLC",LOS ANGELES,19-0540-MP,29.0,(310) 327-4432,"1604 W EL SEGUNDO BLVD, GARDENA, CA 90249",LIEN VU & SON NGUYEN
PALM GARDENS MHP,LOS ANGELES,19-0542-MP,17.0,(310) 792-1660,"5629 GOTHAM AVE, BELL GARDENS, CA 90201",DANNY
RAINBOW TRAILER CAMP,LOS ANGELES,19-0548-MP,28.0,(310) 792-1660,"8305 ATLANTIC AVE, CUDAHY, CA 90201",W MOREY JR
RAINBOW MHP,LOS ANGELES,19-0549-MP,35.0,(310) 602-0401,"14710 LAKEWOOD BLVD, BELLFLOWER, CA 90706",ASSAYAG
RANCHO MHP,LOS ANGELES,19-0552-MP,38.0,(310) 927-4253,"5654 SHULL, BELL GARDENS, CA 90201",WM H STEARNS ET AL
RANCHO LOS CERRITOS TP,LOS ANGELES,19-0555-MP,25.0,(818) 444-2229,"14834 LAKEWOOD BLVD #0118, BELLFLOWER, CA 90706",MOBILE HOME GROUP I LLC
LEE TRAILER PARK,LOS ANGELES,19-0560-MP,22.0,(626) 812-6484,"2710 N LEE AVE, S EL MONTE, CA 91733",DIAZ
EL ROVIA MHP,LOS ANGELES,19-0573-MP,76.0,(626) 448-4234,"4849 PECK RD, EL MONTE, CA 91732",EL ROVIA MOBILE HOME PARK
TROPIC TRAILER PARK PARTNERSHIP,LOS ANGELES,19-0585-MP,18.0,(714) 717-4524,"8819 PARK ST, BELLFLOWER, CA 90706",TROPICAL VILLA INVESTMENT LLC
ROSEMEAD TP,LOS ANGELES,19-0594-MP,33.0,,"9736 E VALLEY BLVD, ROSEMEAD, CA 91770",D WONG & ASSOCIATES LLC
ROYAL TP,LOS ANGELES,19-0596-MP,32.0,(310) 534-3118,"24630 ESHELMAN, LOMITA, CA 90717",GEBHARDT
FLAMINGO GARDENS TP,LOS ANGELES,19-0597-MP,39.0,(310) 530-3302,"520 E CARSON ST, CARSON, CA 90745",FERNANDEZ
SALT LAKE AVE TRAILER PARK,LOS ANGELES,19-0602-MP,65.0,(213) 587-4479,"6631 SALT LAKE AVE, BELL, CA 90201",ROE
"PETER PAN, MHP",LOS ANGELES,19-0606-MP,54.0,(213) 732-4200,"1100 W ALONDRA BLVD, COMPTON, CA 90220",PARK MANAGEMENT & INVESTMENTS
MALKA INVESTMENTS LLC,LOS ANGELES,19-0609-MP,24.0,(213) 688-9190,"2300 NADEAU ST, HUNTINGTON PARK, CA 90255",MALKA INVESTMENTS LLC
NEWHALL AVE RETAIL & MHP LLC,LOS ANGELES,19-0622-MP,55.0,(805) 259-7140,"23830 NEWHALL AVE, SANTA CLARITA, CA 91321",NEWHALL AVE RETAIL & MHP LLC
PEPPER TREE TP,LOS ANGELES,19-0629-MP,0.0,(310) 378-5353,"2150 E 87TH ST, LOS ANGELES, CA 90002",SAVANT
SHADYLANE TP,LOS ANGELES,19-0631-MP,17.0,(714) 827-1252,"2826 MEEKER AVE, EL MONTE, CA 91732",STAUCH
SHADY LANE TRAILER PARK,LOS ANGELES,19-0632-MP,26.0,(619) 990-9686,"4523 CECELIA ST, CUDAHY, CA 90201",4523 CECELIA STREET LLC
EDWARDS TRAILER CT,LOS ANGELES,19-0642-MP,13.0,(818) 910-1100,"2621 NEVADA ST, EL MONTE, CA 91733",TAN
RAINBOW,LOS ANGELES,19-0644-MP,40.0,(909) 278-2494,"10124 GARVEY AVE, EL MONTE, CA 91731",BRAXTON JEANS INC.
LEGACY APARTMENTS & RV PARK,LOS ANGELES,19-0652-MP,21.0,(626) 747-2827,"1451 W HOLT AVE, POMONA, CA 91768",LEGACY GROUP INVESTMENTS LLC
SMITHY TP,LOS ANGELES,19-0659-MP,18.0,(626) 339-8369,"735 N LOREN AVE, AZUSA, CA 91702",CMF PARTNERSHIP LLC
RETREAT TP,LOS ANGELES,19-0661-MP,41.0,(310) 530-9501,"25841 WALNUT ST, LOMITA, CA 90717",LINDLEY
WESTLAND SANTA FE MHP,LOS ANGELES,19-0664-MP,42.0,(310) 639-7130,"1680 TARTAR LN, COMPTON, CA 90221",57TH SAGA LLC
STARLITE TP,LOS ANGELES,19-0673-MP,75.0,(310) 618-1740,"21926 S VERMONT, TORRANCE, CA 90502",RIGLIN
SUNNYSIDE TRAILER PARK,LOS ANGELES,19-0680-MP,19.0,(562) 866-2289,"404 S CENTRAL, COMPTON, CA 90220",BAKER
SUNSET MHP,LOS ANGELES,19-0682-MP,30.0,(310) 633-1884,"13418 S LAKEWOOD BLVD, BELLFLOWER, CA 90706",SMITH
JOHNSONS MP,LOS ANGELES,19-0683-MP,87.0,(310) 633-1884,"723 W AVE I, LANCASTER, CA 93534",WESTERN MHC MANAGEMENT
TEDS TP,LOS ANGELES,19-0684-MP,9.0,(999) 947-1219,"15828 E WHITTIER BLVD, WHITTIER, CA 90603",BOELTL
THRIFTY TP,LOS ANGELES,19-0688-MP,35.0,(866) 953-6112,"12703 S SAN PEDRO ST, LOS ANGELES, CA 90061",CASTROBRAN
TOKTAGOD FARMS,LOS ANGELES,19-0690-MP,30.0,(213) 777-9175,"10107 GARVEY AVE, EL MONTE, CA 91731",WU
TOLER AVENUE TP,LOS ANGELES,19-0692-MP,5.0,(310) 928-0049,"7248 TOLER AVE, BELL GARDENS, CA 90201",SANDOVAL
EL RANCHO MHP,LOS ANGELES,19-0694-MP,157.0,(602) 632-7555,"16002 S ATLANTIC, COMPTON, CA 90221",EL RANCHO MHP LLC
ABC MOBILE HOME PARK,LOS ANGELES,19-0696-MP,68.0,(949) 284-4444,"8006 S ATLANTIC AVE, CUDAHY, CA 90201",B & D NORTON PROPERTIES INC
TOWN AND COUNTRY TRAILER PARK,LOS ANGELES,19-0697-MP,21.0,(818) 915-1344,"375 E SAN BERNARDINO RD, COVINA, CA 91723",BROWNSTEIN
TRAILERLAND TRAILER PARK,LOS ANGELES,19-0702-MP,21.0,(714) 391-3932,"7233 SOMERSET BLVD, PARAMOUNT, CA 90723",TGG HOLDINGS LLC
ELMS MOBILE ESTATES,LOS ANGELES,19-0707-MP,25.0,(310) 948-3755,"8527 WHITTIER BLVD, PICO RIVERA, CA 90660",DIAZ
ROSE TERRACE MP,LOS ANGELES,19-0713-MP,46.0,(818) 448-2810,"9522 GIOVANE ST, S EL MONTE, CA 91733",SO EL MONTE INVESTMENT LLC
BLUE SKIES MHP,LOS ANGELES,19-0714-MP,101.0,(661) 794-3673,"1717 E AVE I, LANCASTER, CA 93535",SILVER VALLEY INVESTMENT LLC
HALLDALE MOBILE HOME PARK,LOS ANGELES,19-0715-MP,35.0,(858) 461-9430,"1515 W 135TH ST, GARDENA, CA 90249",HALLDALE MHP LLC
GARDENA MHP,LOS ANGELES,19-0716-MP,66.0,(213) 487-0800,"13801 S VERMONT AVE, GARDENA, CA 90247",GARDENA MHP LLC
BELL GARDENS TRAILER PARK,LOS ANGELES,19-0717-MP,20.0,(310) 927-4972,"5943 CECILA, BELL GARDENS, CA 90201",SAVANT
SHADY ELMS MOBILE HOME & RV PARK,LOS ANGELES,19-0718-MP,64.0,(661) 948-3350,"43155 N SIERRA HWY, LANCASTER, CA 93534","LOW MAC,LLC"
VAGABOND VILLA PARK,LOS ANGELES,19-0727-MP,48.0,(999) 442-6170,"10037 GARVEY AVE, EL MONTE, CA 91731",THESING
TREELANE COMMUNITY PARK LLC,LOS ANGELES,19-0728-MP,91.0,(818) 358-8116,"1020 BRADBOURNE AVE, DUARTE, CA 91010",TREELANE COMMUNITY PARK LLC
ROBINS PARK,LOS ANGELES,19-0740-MP,38.0,(310) 920-0161,"17820 LAKEWOOD BLVD, BELLFLOWER, CA 90706",EICHE
GARVEY MHP,LOS ANGELES,19-0743-MP,35.0,(626) 575-3070,"9540 E GARVEY AVE #0036, S EL MONTE, CA 91733",GROUP XI PICO RIVERA PROPERTIES
SOMERSET PARK,LOS ANGELES,19-0744-MP,21.0,(310) 633-6263,"7530  SOMERSET BLVD, PARAMOUNT, CA 90723",GREB
VILLAGE TRAILER PARK,LOS ANGELES,19-0745-MP,10.0,(310) 458-8355,"2930 COLORADO AVE, SANTA MONICA, CA 90404",MILLENNIUM SANTA MONICA
WALNUT GROVE MP,LOS ANGELES,19-0751-MP,51.0,(818) 358-1566,"2548 S PECK RD, MONROVIA, CA 91016",MONROVIA 50 LLC
WALNUT MHP,LOS ANGELES,19-0752-MP,35.0,(310) 696-4541,"9022 S PAINTER AVE, WHITTIER, CA 90602",WALNUT PARK PARTNERSHIP
WESTMONT CT,LOS ANGELES,19-0760-MP,13.0,(310) 696-4541,"1622 EL SEGUNDO BLVD, GARDENA, CA 90247",COATES
ELIJAHS PARK LLC,LOS ANGELES,19-0765-MP,29.0,(310) 630-1827,"15523 LAKEWOOD BLVD, PARAMOUNT, CA 90723",ELIJAHS PARK LLC
WHITMAN TP,LOS ANGELES,19-0771-MP,9.0,(310) 212-6660,"13515 S. MARIPOSA AVE., GARDENA, CA 90247",TRACEY
OAKGROVE FAMILY PARK LLC,LOS ANGELES,19-0776-MP,37.0,(818) 881-6633,"12753 W SIERRA HWY, AGUA DULCE, CA 91350",THE ROGERS FAMILY TRUST
VIRGILS MHP,LOS ANGELES,19-0777-MP,24.0,(562) 925-5982,"17604 08 S LAKEWOOD BLVD, BELLFLOWER, CA 90706",ESTATE OF VIRGIL J. CUCULICI
BELLWOOD MHP,LOS ANGELES,19-0784-MP,47.0,(562) 866-1813,"15717 S WOODRUFF AVE, BELLFLOWER, CA 90706",HALE
WRIGHTS TP,LOS ANGELES,19-0786-MP,8.0,(818) 284-9590,"9339 ARTESIA BLVD, BELLFLOWER, CA 90706",PPS PC PARKS LLC
JOSHUA VIEW MOBILE HOME PARK,LOS ANGELES,19-0792-MP,72.0,(626) 533-3300,"6150 E AVE T, PALMDALE, CA 93552",INCOME ESTATES LLC
PIONEER TP,LOS ANGELES,19-0794-MP,20.0,(805) 533-3300,"11713 FIRESTONE BLVD, NORWALK, CA 90650",CHEN
ZEPHYR MHP,LOS ANGELES,19-0795-MP,12.0,(310) 673-7140,"11143 S PRAIRIE AVE, INGLEWOOD, CA 90303",PATEL
PARADISE TP,LOS ANGELES,19-0796-MP,60.0,(626) 280-4711,"8069 E GARVEY AVE, ROSEMEAD, CA 91770",SAN GARVEY INVESTMENTS
HILLVIEW MOBILE HOME COMMUNITIES,LOS ANGELES,19-0799-MP,59.0,(909) 595-3246,"3825 W VALLEY BLVD, POMONA, CA 91765",HILLVIEW MHC LLC
EL RANCHO MHP,LOS ANGELES,19-0803-MP,75.0,(805) 942-2417,"44122 N 20TH ST EAST, LANCASTER, CA 93535",KARMA LLC
ADOBE MHP,LOS ANGELES,19-0804-MP,13.0,(805) 942-2417,"9329 E ARTESIA BLVD, BELLFLOWER, CA 90706",PPS PC PARKS LLC
ADOBE MHP,LOS ANGELES,19-0805-MP,53.0,(424) 256-4598,"1424 W 135TH ST, GARDENA, CA 90249",ADOBE OWNERS ASSOCIATION
SUNWEST MANUFACTURED HOUSING COMMUNITY,LOS ANGELES,19-0806-MP,38.0,(310) 329-4007,"13525 S VERMONT AVE, GARDENA, CA 90247",SUNWEST MANUFACTURED HOUSING COMMUNITY LLC
SHULL GARDENS MHP,LOS ANGELES,19-0808-MP,38.0,(310) 927-1818,"5678 SHULL ST, BELL GARDENS, CA 90201",SHULL GARDENS MOBILEHOME PARK
NORMANDIE MOBILEHOME PARK,LOS ANGELES,19-0810-MP,54.0,(626) 377-0638,"21104 S NORMANDIE AVE, TORRANCE, CA 90502",YANG
WESTERN SKIES,LOS ANGELES,19-0814-MP,60.0,(661) 946-4161,"3157 E AVE I, LANCASTER, CA 93535",CBA SILVER INC
SUN TRAILER PARK,LOS ANGELES,19-0815-MP,30.0,(562) 862-0119,"12532 LAKEWOOD BLVD, DOWNEY, CA 90242",DOSHI
ROLLINGS HILLS TP,LOS ANGELES,19-0819-MP,72.0,(310) 530-9501,"24725 PENNSYLVANIA AVE, LOMITA, CA 90717",LINDLEY
RIO PUENTE TP,LOS ANGELES,19-0820-MP,87.0,(714) 988-4167,"6656 ROSECRANS, PARAMOUNT, CA 90723",HOMEWOOD REALTY INC
VANS MOBILEHOME PARK,LOS ANGELES,19-0821-MP,90.0,(310) 633-4424,"8723 ARTESIA BLVD RESIDENT LOT #41, BELLFLOWER, CA 90706",VANS MHP LLC/C
CRESTVIEW MHP,LOS ANGELES,19-0822-MP,101.0,(805) 942-3487,"1449 E AVE I, LANCASTER, CA 93535",STEELE
CASA MH CO-OP,LOS ANGELES,19-0823-MP,56.0,(310) 927-1235,"7000 E GAGE AVE #7, BELL GARDENS, CA 90201",CASA MOBILEHOME CO-OP
ROSELAKE MOBILODGE,LOS ANGELES,19-0826-MP,23.0,(714) 480-6828,"9097 E ROSECRANS AVE, BELLFLOWER, CA 90706",CONNORS FAMILY TRUST
DESERT PALMS MHP,LOS ANGELES,19-0827-MP,56.0,(805) 251-2723,"2515 E AVE I, LANCASTER, CA 93535",
PLACERITA CANYON MHP,LOS ANGELES,19-0829-MP,30.0,(805) 259-2571,"21515 PLACERITA CANYON RD, SANTA CLARITA, CA 91321",LANG
MOUNTAIN VIEW,LOS ANGELES,19-0831-MP,11.0,(661) 723-0077,"34415 METTER COURT, PEARBLOSSOM, CA 93553",METTER
SKYLARK MHP,LOS ANGELES,19-0834-MP,44.0,(562) 633-5049,"9113 E ROSECRANS, BELLFLOWER, CA 90706",SKYPARK MHP LP
DANA TP,LOS ANGELES,19-0835-MP,10.0,(999) 630-5666,"5550 CLARA ST, BELL GARDENS, CA 90201",GUERARA
THE VILLAGERS MOBILE HOME PARK,LOS ANGELES,19-0837-MP,14.0,(661) 946-1472,"38525 E 90TH ST, PALMDALE, CA 93550",RAD-ZIN INVESTMENT LLC
SUNNY SKIES MHP,LOS ANGELES,19-0839-MP,72.0,(661) 946-1877,"45415 28TH ST EAST, LANCASTER, CA 93535",MARICOL
ELMS MHP,LOS ANGELES,19-0842-MP,29.0,(310) 534-1750,"2101 W 245TH ST, LOMITA, CA 90717",SHERMAN
THE GARVEY TP,LOS ANGELES,19-0843-MP,13.0,(818) 448-1313,"12214 GARVEY AVE, EL MONTE, CA 91731",ALCO INVESTMENT INC
CRESTVIEW COTTAGES,LOS ANGELES,19-0844-MP,58.0,(909) 823-1000,"2350 W 250TH ST, LOMITA, CA 90717",CRESTVIEW COTTAGES MHP LLC
PALMDALE MHP,LOS ANGELES,19-0845-MP,45.0,(818) 991-6629,"38015 65TH ST EAST, PALMDALE, CA 93550","PALMDALE MOBILE PARK ,LLC"
CARSON GARDENS TRAILER LODGE,LOS ANGELES,19-0847-MP,97.0,(310) 328-0600,"437 W CARSON ST, CARSON, CA 90745",CARSON MHP ASSOCIATES LP
RALPHS TP,LOS ANGELES,19-0848-MP,15.0,(310) 328-0600,"4503 CLARA ST, CUDAHY, CA 90201",GUIDO FAMILY LLC
LITTLE GEM TRAILER PARK,LOS ANGELES,19-0850-MP,25.0,(619) 990-9686,"4555 CECELIA ST, CUDAHY, CA 90201",4555 CECELIA STREET LLC
ANTELOPE DESERT TP,LOS ANGELES,19-0851-MP,15.0,(805) 944-1335,"37855 90TH ST EAST, LITTLEROCK, CA 93543",JONES
ABOO TP,LOS ANGELES,19-0855-MP,0.0,(626) 319-2077,"4423 N ROSEMEAD BLVD, ROSEMEAD, CA 91770",PIERCE
MAXSON PINES MOBILE MANOR,LOS ANGELES,19-0856-MP,56.0,(818) 591-1386,"3335 MAXSON RD, EL MONTE, CA 91733",JDH CAPITAL LLC
ORCHARD GREEN MHP,LOS ANGELES,19-0857-MP,44.0,(805) 944-1013,"35959 N 77TH ST EAST, LITTLEROCK, CA 93543",TTATSUO TANAMACHI FAMILY TRUST
MONTEBELLO MHP,LOS ANGELES,19-0859-MP,46.0,(323) 721-4112,"525 S GREENWOOD AVE, MONTEBELLO, CA 90640",MONTEBELLO MHP
SIERRA PARK LLC,LOS ANGELES,19-0860-MP,76.0,(805) 252-3028,"18204 SOLEDAD CANYON RD, SANTA CLARITA, CA 91351",SIERRA MHP ASSOCIATES LP
AIR LANE MHP,LOS ANGELES,19-0864-MP,52.0,(805) 252-3028,"45446 N 7TH ST EAST, LANCASTER, CA 93535",DECEMBER 2ND
ACE MOBILE HOME PARK,LOS ANGELES,19-0869-MP,70.0,(562) 803-6115,"12265 WOODRUFF, DOWNEY, CA 90241",PROFESSIONAL BUSINESS SERVICES INC
CROCKERS TRAILER CT,LOS ANGELES,19-0870-MP,13.0,(310) 455-0112,"1548 N TOPANGA BLVD, TOPANGA, CA 90290",1548 TOPANGA CANYON BLVD LLC
FOREST TP,LOS ANGELES,19-0872-MP,7.0,(661) 268-7434,"16493 SIERRA HWY, CANYON COUNTRY, CA 91351",RONDONI
BELLFLOWER TRAILER HAVEN,LOS ANGELES,19-0876-MP,37.0,(310) 866-3683,"9847 FLORA VISTA, BELLFLOWER, CA 90706",WESTHOFF
SHERWOOD MHP,LOS ANGELES,19-0877-MP,182.0,(916) 772-4918,"3753 E AVE I, LANCASTER, CA 93535",SHERWOOD MHP LLC
RAYS MHP,LOS ANGELES,19-0879-MP,26.0,(310) 866-3683,"7814 ATLANTIC AVE, CUDAHY, CA 90201",DELORME
MOBILEAIRE ESTATES,LOS ANGELES,19-0880-MP,103.0,(818) 331-2717,"716 N GRAND AVE, COVINA, CA 91724",COVINA MHP ASSOCIATES
ROYAL PALMS TRAILER LODGE,LOS ANGELES,19-0883-MP,38.0,(818) 336-9845,"15040 E VALLEY BLVD, LA PUENTE, CA 91746",WELCH PROPERTIES II
RANCH INN MHP,LOS ANGELES,19-0886-MP,66.0,(818) 446-4781,"338 W AVE J8, LANCASTER, CA 93534",RANCH INN MHP LLC
PETER PAN MOBILE VILLAGE,LOS ANGELES,19-0890-MP,48.0,(818) 446-4781,"1140 W ALONDRA BLVD, COMPTON, CA 90220",PARK MANAGEMENT INC
GARDEN STATE TP,LOS ANGELES,19-0891-MP,20.0,(310) 645-8230,"22325 S VERMONT, TORRANCE, CA 90502",CELTIC PARTNERS
VILLA CAPRI TP,LOS ANGELES,19-0892-MP,54.0,(323) 721-1395,"1428 BEACH ST, MONTEBELLO, CA 90640",CLIFFSIDE ENTERPRISES
"EL GARDENA PARKS, LLC",LOS ANGELES,19-0893-MP,11.0,(310) 327-4432,"1614 W EL SEGUNDO BLVD, GARDENA, CA 90249",LIEN VU & SON NGUYEN
ATLANTIC TRAILER VILLAGE,LOS ANGELES,19-0894-MP,102.0,(310) 327-4432,"7735 ATLANTIC AVE, CUDAHY, CA 90201",ALBERT APPEL ET AL
N\V TP,LOS ANGELES,19-0896-MP,8.0,(818) 442-8284,"10118 GARVEY AVE, EL MONTE, CA 91733",WONG
L J MHP,LOS ANGELES,19-0897-MP,17.0,(310) 329-7754,"1425 W 132ND ST, GARDENA, CA 90249",MARENCIK
BLUE STAR MOBILE HOME PARK,LOS ANGELES,19-0900-MP,186.0,(818) 896-7100,"12401 FILMORE ST, SYLMAR, CA 91342",BLUE STAR MOBILE HOME PARK ASSOCIATES
LAKELAND VILLA,LOS ANGELES,19-0902-MP,99.0,(562) 944-6500,"12147 E LAKELAND RD, SANTA FE SPRINGS, CA 90670",LAKELAND VILLA
TERRA NOVA MOBILE HOME PARK,LOS ANGELES,19-0905-MP,75.0,(661) 946-8499,"1617 E AVENUE  I, LANCASTER, CA 93535",ROSEIAN
GRANADA VILLA MHP,LOS ANGELES,19-0907-MP,179.0,(661) 252-3515,"18540 SOLEDAD CANYON RD, CANYON COUNTRY, CA 91351",GRANADA VILLA
CLEAR SKIES MOBILE RANCH,LOS ANGELES,19-0909-MP,47.0,(805) 252-3515,"1304 E AVE I, LANCASTER, CA 93535",MALKA LLC
SUNRISE ESTATES,LOS ANGELES,19-0910-MP,28.0,(805) 252-3515,"45131 N 28TH ST EAST, LANCASTER, CA 93535",HARRIS
GRANDVIEW MHP,LOS ANGELES,19-0912-MP,15.0,(310) 329-7754,"1436 W 130TH ST, GARDENA, CA 90249",MARENCIK
DESERT PARADISE MHP,LOS ANGELES,19-0913-MP,50.0,(323) 845-0909,"45541 N 30TH ST EAST, LANCASTER, CA 93535",DAM & M INVESTMENTS LLC
ROYCE CINDERELLA MHP,LOS ANGELES,19-0916-MP,79.0,(562) 602-0696,"8600 CONTRERAS, PARAMOUNT, CA 90723",AGRE ROYCE HOLDINGS LLC
SUNCREST MHP,LOS ANGELES,19-0917-MP,18.0,(310) 325-0125,"1331 W 135TH ST, GARDENA, CA 90247",DOSHI
CLOVERLEAF TP,LOS ANGELES,19-0918-MP,13.0,(562) 235-3582,"5908 E GAGE AVE, BELL GARDENS, CA 90201",VICTORIA SB TRUST
LOS FLAMINGOS LODGE,LOS ANGELES,19-0919-MP,21.0,(310) 273-4177,"1618 W 132ND, GARDENA, CA 90249",DANNY
THE LIDO MHP,LOS ANGELES,19-0920-MP,54.0,(213) 773-2296,"45125 N 30TH ST EAST, LANCASTER, CA 93535",SANDBURG FAMILY TRUST
"MITCHELL'S AVENUE E PARK, INC.",LOS ANGELES,19-0922-MP,24.0,(818) 381-7649,"721 WEST AVE EAST, LANCASTER, CA 93534",NORRIS
S K MHP,LOS ANGELES,19-0923-MP,44.0,(310) 320-0361,"22335 S VERMONT AVE, TORRANCE, CA 90502",SK MOBILE HOME PARK LLC
GOLDEN SANDS MHP,LOS ANGELES,19-0924-MP,152.0,(310) 320-0361,"2059 E AVE I, LANCASTER, CA 93535",PARK OPERATOR 19-0924
LYNWOOD MOBILE LODGE,LOS ANGELES,19-0929-MP,35.0,(310) 632-3950,"5300 CORTLAND ST., LYNWOOD, CA 90262",HOOK
ROLLING HOMES TRAILER PARK,LOS ANGELES,19-0930-MP,19.0,(760) 678-8352,"2606 SANTA ANITA AVE, EL MONTE, CA 91733",LALANI
LAMPLIGHTER TP,LOS ANGELES,19-0931-MP,21.0,(818) 350-0093,"2662 MOUNTAIN VIEW RD, EL MONTE, CA 91731",GKL PROPERTIES
LOMA LINDA TP,LOS ANGELES,19-0934-MP,19.0,(661) 944-3291,"12730 PEARBLOSSOM HWY, PEARBLOSSOM, CA 93553",WILLIAMS
K.A.K. MOBILE HOME PARK LLC,LOS ANGELES,19-0935-MP,40.0,,"17197 SIERRA HWY, CANYON COUNTRY, CA 91351",KOREN
PARK AVALON MOBILE ESTATES,LOS ANGELES,19-0937-MP,133.0,(310) 834-2039,"750 E CARSON ST, CARSON, CA 90745",PARK AVALON CARSON LLC
CENTINELA AUTO COURT,LOS ANGELES,19-0938-MP,37.0,(858) 759-9149,"414 E STEPNEY ST, INGLEWOOD, CA 90302",CENTINELA INCOME PROPERTIES LIMITED PARTNERSHIP
HILLCREST MHP,LOS ANGELES,19-0939-MP,18.0,(805) 264-2252,"39820 N 145TH ST EAST, PALMDALE, CA 93550",THE MARQUIS GROUP INC
PARADISE TRAILER LODGE,LOS ANGELES,19-0940-MP,84.0,(310) 835-2082,"21900 S MARTIN ST, CARSON, CA 90745",KLEEGE
BEST EVER MHP,LOS ANGELES,19-0943-MP,35.0,(408) 254-3698,"1265- 1307  W 134TH ST, GARDENA, CA 90247",NGUYEN
VAN DIEST TRAILER PARK,LOS ANGELES,19-0944-MP,39.0,(310) 630-4878,"9160 SONRISA ST, BELLFLOWER, CA 90706",VAN DIEST ENTERPRISES INC.
CAPRI GARDENS MOBILEHOME COMMUNITY,LOS ANGELES,19-0949-MP,57.0,(626) 443-5017,"3541 BALDWIN, EL MONTE, CA 91731",RICBERAY INC
NORWALK VILLAGE,LOS ANGELES,19-0950-MP,103.0,(818) 443-5017,"12737 ROSECRANS AVE, NORWALK, CA 90650",YOUNG
LITTLE OAK TP,LOS ANGELES,19-0952-MP,12.0,(213) 560-8787,"5259 LIVE OAK ST, BELL, CA 90201",SHELBY
SAN ANTONIO TP,LOS ANGELES,19-0958-MP,20.0,(714) 846-2636,"9020 SOMERSET BLVD, BELLFLOWER, CA 90706",MARTIN
ROSEWOOD MHP,LOS ANGELES,19-0959-MP,99.0,,"14325 MCNAB AVE, BELLFLOWER, CA 90706",ROSEWOOD LAND CO
GREEN LANTERN PARK,LOS ANGELES,19-0960-MP,15.0,(310) 867-3227,"4631 ELIZABETH ST, CUDAHY, CA 90201",DANNY
SYLVAN VILLA MHP,LOS ANGELES,19-0961-MP,65.0,(626) 334-4210,"830 S AZUSA AVE, AZUSA, CA 91702",SYLVAN VILLAS
IMPERIAL VILLAGE,LOS ANGELES,19-0962-MP,134.0,(818) 334-4210,"11101 IMPERIAL HWY, NORWALK, CA 90650",WATT
MAPLE ESTATES TP,LOS ANGELES,19-0963-MP,32.0,(213) 722-7122,"710 S MAPLE AVE, MONTEBELLO, CA 90640",TEWASART
THE COPACABANA,LOS ANGELES,19-0964-MP,173.0,(909) 593-2044,"2717 ARROW HWY, LA VERNE, CA 91750",MILLENIUM HOUSING INC
TUMBLING WATERS MHP,LOS ANGELES,19-0965-MP,113.0,(818) 331-2143,"1380 N CITRUS, COVINA, CA 91722",TUMBLING WATERS LLC
HOLIDAY LODGE MHP,LOS ANGELES,19-0966-MP,98.0,(818) 338-2967,"1661 PUENTE AVE, BALDWIN PARK, CA 91706",HOLIDAY LODGE MOBILE HOME PARK
RANCHO SAN JOSE M.H.C.,LOS ANGELES,19-0967-MP,61.0,(626) 331-4094,"21310 E COVINA BLVD, COVINA, CA 91724",WHEELER
SHANGRI LODGE MHP,LOS ANGELES,19-0968-MP,46.0,(310) 530-1237,"21834 S GRACE AVE, CARSON, CA 90745",DZIKOWSKI
PARK GRANADA,LOS ANGELES,19-0969-MP,26.0,(310) 835-1424,"218 W CARSON ST, CARSON, CA 90745",R44 LENDING GROUP
ANDERSON TRAILER PARK,LOS ANGELES,19-0971-MP,6.0,(626) 716-0112,"7520 26 ATLANTIC AVE, CUDAHY, CA 90201",CUDAHY ATLANTIC LLC
TRAMMELS MHP,LOS ANGELES,19-0975-MP,9.0,(310) 835-1424,"10917 WEAVER ST, S EL MONTE, CA 91733",VILLALOBOS
LAKEWOOD MOBILE ESTATES,LOS ANGELES,19-0976-MP,200.0,(562) 421-4982,"12550 E CARSON BLVD, HAWAIIAN GARDENS, CA 90716",LAKEWOOD MOBILE ESTATES
TORRANCE GARDENS MHP,LOS ANGELES,19-0977-MP,62.0,(949) 752-5181,"22516 S NORMANDIE AVE, TORRANCE, CA 90502",TORRANCE PARK LLC
PARK MONTEREY,LOS ANGELES,19-0979-MP,39.0,(626) 625-9935,"7433 GARVEY AVE, ROSEMEAD, CA 91770",BIG ISLAND PROPERTY
PALOS VISTA MHP,LOS ANGELES,19-0983-MP,21.0,(714) 974-0397,"2355 LOMITA BLVD, LOMITA, CA 90717",GUNDLACH
FOOTHILL VISTA MHP,LOS ANGELES,19-0984-MP,205.0,(818) 334-1134,"840 E FOOTHILL, AZUSA, CA 91702",GORLICK USLANER MATZNER & FREED
CARAVILLA MHP,LOS ANGELES,19-0988-MP,84.0,(805) 252-2200,"18035 SOLEDAD CANYON RD, SANTA CLARITA, CA 91351",NEWPORT PACIFIC CARAVILLA LIMITED
BEL AIRE PARK,LOS ANGELES,19-0989-MP,81.0,(310) 834-1240,"21425 S AVALON BLVD, CARSON, CA 90745",WANG
