Park Name,County,Park Identifier,Park Address,MH Spaces,Operated by
LUCERNE ON THE LAKE-PARK,LAKE,17-0056-MP,"5877 LAKE ST, LUCERNE, CA 95458, (707) 274-7751",39,"LUCERNE ON THE LAKE MHP LLC, 3511 DEL PASO RD # 160147, SACRAMENTO, CA 95835"
DRIFT INN TRAILER RESORT,LAKE,17-0057-MP,"2730 LAKESHORE BLVD, NICE, CA 95464, (707) 274-5501",47,"TAVARES, MONTY & NICOLETTE TTEE TAVARES TRUST, 2730 LAKESHORE BLVD, UPPER LAKE, CA 95485"
LUCKY 4 TRAILER RESORT,LAKE,17-0058-MP,"1060 NO. MAIN ST, LAKEPORT, CA 95453, (707) 263-4210",26,"WILLIAMSON, MARILYN, 1060 N MAIN ST #1, LAKEPORT, CA 95453"
WATERS EDGE TRAILER PARK,LAKE,17-0059-MP,"3317 E HWY 20, NICE, CA 95464, (707) 274-9736",1,"DAVID W WEBSTER & JOYCE E WEBSTER JOINT LIVING TRUST, C/O JODIE GOODMAN 8256 DRESSAGE WAY, SACRAMENTO, CA 95829"
NORTHPORT MH & RV PARK,LAKE,17-0061-MP,"5020 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 263-6311",26,"MCQUEEN, JERRY & MARYANN, 1741 MONTANA VISTA ST, LAKEPORT, CA 95453"
LOTOWANA VILLAGE RESORT,LAKE,17-0062-MP,"14825 CLEMENT AVE, CLEARLAKE, CA 95422, (707) 485-7003",19,"JOHN LAZZARO/EDDIE & HELEN PACHECO, 5741 CENTRAL AVE, UKIAH, CA 95482"
LEN LEE MOBILE HOME PARK,LAKE,17-0067-MP,"3427 E HWY 20, NICE, CA 95464, (707) 263-1607",42,"NICE MHP LLC, PO BOX 298, MERCED, CA 95344"
ANTHONYS BEACH RESORT,LAKE,17-0068-MP,"2301 BEACH LN, LAKEPORT, CA 95453, (707) 850-9740",1,"SANDRA J LASHLY SEPARATE PROPERTY TRUST, 3815 TAYLOR RD, LOOMIS, CA 95650"
CLEARLAKE MARINA MHP,LAKE,17-0070-MP,"1400 S MAIN ST, LAKEPORT, CA 95453, (707) 263-6645",51,"FIRST CLASS CAPITAL LLC, PO BOX 22029, HOUSTON, TX 77227"
NICE RESORT,LAKE,17-0071-MP,"4017 HWY 20, NICE, CA 95464, (707) 479-4981",0,"BALBO, ERSULA, 19201 SONOMA #246, SONOMA, CA 95476"
BLUE LAKES VILLAGE,LAKE,17-0072-MP,"5178 W HWY 20, UPPER LAKE, CA 95485, (707) 275-2105",5,"REAL ASSET INVESTMENT SERVICES FPC, 5690 DEMPSEY PLACE, SANTA ROSA, CA 95403"
NORTHWOOD PARK,LAKE,17-0073-MP,"10090 E HWY 20, CLEARLAKE OAKS, CA 95423, (408) 876-7019",20,"QI, HAI, PO BOX 20518, SAN JOSE, CA 95160"
BJ WALLS,LAKE,17-0075-MP,"2570 LAKESHORE BLVD, NICE, CA 95464, (707) 274-3315",10,"WALL, ROBERT, PO BOX 207, NICE, CA 95464"
KONOCTI SHORES,LAKE,17-0076-MP,"8920 SODA BAY RD, KELSEYVILLE, CA 95451, (714) 974-0397",98,"CASTILLEJO LLC, 21C ORINDA WAY SUITE # 202, ORINDA, CA 94563"
PAISANO'S PARK,LAKE,17-0080-MP,"9287 KONOCTI BAY RD, KELSEYVILLE, CA 95451, (707) 277-7951",11,"PRETARI, DAVID, 345 SUNFISH COURT, FOSTER CITY, CA 94404"
REEL IN RESORT,LAKE,17-0081-MP,"9495 KONOCTI BAY RD, KELSEYVILLE, CA 95451, (707) 277-7276",59,"NOWAK, CHRISTOPHER, 9495 KONOCTI BAY RD, KELSEYVILLE, CA 95451"
LAZY-S RANCH RESORT,LAKE,17-0085-MP,"24606 BRADFORD RD, MIDDLETOWN, CA 95461, (707) 987-3732",20,"WAGNER, MARGARET, PO BOX 909, MIDDLETOWN, CA 95461"
HARBOR VISTA MOBILE PARK & MARINA,LAKE,17-0086-MP,"9510 HARBOR DR, GLENHAVEN, CA 95443, (707) 987-9275",18,"RIORDAN, FRANK, C/O TED KIRBY PO BOX 541, LOWER LAKE, CA 95457"
THE OASIS MOBILEHOME PARK & CAMPGROUND,LAKE,17-0087-MP,"13050 ISLAND DR, CLEARLAKE OAKS, CA 95423, (707) 998-1753",37,"CLEAR LAKE OASIS LLC, PO BOX 2198, GRASS VALLEY, CA 95945"
SLEEPY HOLLOW RESORT,LAKE,17-0090-MP,"8750 BONHAM RD, LOWER LAKE, CA 95457, (707) 995-9127",14,"GILL, CHARLES, 8750 BONHAM RD #7, LOWER LAKE, CA 95457"
RUNNING SPRINGS MHP,LAKE,17-0093-MP,"291 CRYSTAL LAKE WAY, LAKEPORT, CA 95453, (707) 263-7343",16,"LAKESIDE PROPERTIES LLC, 969-G EDGEWATER BLVD SUITE # 237, FOSTER CITY, CA 94404"
RAINBOW MHP,LAKE,17-0097-MP,"3515 LAKESHORE BLVD, LAKEPORT, CA 95453, (650) 344-2706",27,"BONES, TONI, PO BOX 117550, BURLINGAME, CA 94011"
TROMBETTAS RESORT,LAKE,17-0100-MP,"5865 OLD HWY 53, CLEARLAKE, CA 95422, (707) 994-2417",21,"W&R WEDGEWOOD APTS, 2998 DOUGLAS BLVD SUITE # 125, ROSEVILLE, CA 95661"
LAKEWOOD MHP,LAKE,17-0102-MP,"6330 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 225-1864",24,"LAMONICA, ROB, 4190 SILVERADO TRAIL, NAPA, CA 94558"
STERLING SHORE ESTATES,LAKE,17-0104-MP,"5830 ROBIN HILL DR, LAKEPORT, CA 95453, (760) 203-4860",70,"CARITAS AFFORDABLE HOUSING INC, 3 PARK PLAZA # 1700, IRVINE, CA 92614"
SANDPIPER RV PARK,LAKE,17-0105-MP,"2630 LAKESHORE BLVD, NICE, CA 95464, (707) 274-4448",0,"2630 LAKESHORE BLVD TRUST, C/O FREDRICK SANBORN-TRUSTEE PO BOX 2267, GRASS VALLEY, CA 95945"
PINE GROVE RESORT,LAKE,17-0107-MP,"15965 BOTTLE ROCK RD, COBB, CA 95426, (707) 928-5222",36,"PINECONE LLC, PO BOX 648, COBB, CA 95426"
SUNSET STRIP MOBILEHOME PARK,LAKE,17-0108-MP,"3406 LAKESHORE BLVD, NICE, CA 95464, (707) 696-0639",13,"HUGHES, PAUL, PO BOX 9451, SANTA ROSA, CA 95405"
AZTEC RIVER GROVE RV PARK,LAKE,17-0110-MP,"16150 TISH A TANG RD, LOWER LAKE, CA 95457, (707) 994-4377",1,"BACCI, DAVID & EDIE, 708 GRAVENSTEIN HWY NORTH #150, SEBASTOPOL, CA 95472"
CACHE CREEK MH ESTATES,LAKE,17-0111-MP,"16525 DAM RD, CLEARLAKE, CA 95422, (707) 994-6173",50,"BURGESS, LEE, PO BOX 200, CASPAR, CA 95420"
HOLIDAY ISLAND MOBILE HOME PARK,LAKE,17-0113-MP,"12145 LAKESHORE DR, CLEARLAKE, CA 95422, (707) 994-6723",31,"KOHLRUSS, KARL & LEILANI, 12135 LAKESHORE DR, CLEARLAKE, CA 95422"
KNOLLWOOD ESTATES,LAKE,17-0114-MP,"9850 E HWY 20, CLEARLAKE OAKS, CA 95423, (707) 998-3214",15,"LAKESIDE PROPERTIES LLC, 969-G EDGEWATER BLVD SUITE # 237, FOSTER CITY, CA 94404"
LIVE OAK MHP,LAKE,17-0117-MP,"5935 LIVE OAK DR, KELSEYVILLE, CA 95451, (707) 279-1251",74,"FRINGE PLAYERS LAKE, LLC, 80 LONGFELLOW, MILL VALLEY, CA 94941"
GALAXY RESORT,LAKE,17-0119-MP,"5935 OLD HWY 53, CLEARLAKE, CA 95422, (707) 994-6951",23,"MALAN, MICAH, 2945 ATLAS PEAK RD, NAPA, CA 94558"
BAYSHORE MHP,LAKE,17-0122-MP,"9130 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 277-7261",13,"JONES, DOUG & KATHRYN, 9130 SODA BAY RD, KELSEYVILLE, CA 95451"
KING FISHER MOBILE HOME PARK,LAKE,17-0123-MP,"5845 OLD HWY 53, CLEARLAKE, CA 95422, (707) 984-6686",23,"PURPLE DIAMOND INVESTMENTS LLC, 17811 COMANCHE TRAIL, LOS GATOS, CA 95033"
BELLA LAGO,LAKE,17-0125-MP,"8940 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 277-7664",32,"KONOCTI BAYGROUP,LLC, 31 E JULIAN ST, SAN JOSE, CA 95112"
PONDEROSA MOBILE HOME PARK,LAKE,17-0127-MP,"5825 OLD HWY 53, CLEARLAKE, CA 95422, (707) 277-7664",26,"MHP ONE LLC, PO BOX 2898, MERCED, CA 95344"
ANGELIQUE LAKEFRONT HAVEN,LAKE,17-0128-MP,"3827 E HWY 20, NICE, CA 95464, (707) 274-9262",6,"ENCARNACION, ANGELIQUE, PO BOX 50188, PASADENA, CA 91115"
COLONIAL MOBILE VILLAGE,LAKE,17-0129-MP,"3039 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 792-2129",27,"HALL ENTERPRISE PROPERTIES, LLC, PO BOX 42, PENNGROVE, CA 94951"
PERKS MH ESTATES,LAKE,17-0130-MP,"4265 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 245-4482",50,"IRON OAK PROPERTIES, 1647 WILLOW PASS RD #300, CONCORD, CA 94520"
LAKE PLACE RESORT,LAKE,17-0135-MP,"9515 HARBOR DR, GLENHAVEN, CA 95443, (707) 998-3331",9,"SUN, MINSHENG, PO BOX 34, GLENHAVEN, CA 95443"
WESTWIND MOBILE HOME PARK,LAKE,17-0136-MP,"11270  KONOCTI VISTA DR, LOWER LAKE, CA 95457, (707) 994-3708",42,"JCW WESTWIND MOBILE HOME PARK, 4050 UPPER DRIVE, LAKE OSWEGO, OR 97035"
PINE DELL RESORT,LAKE,17-0150-MP,"10909 LAKESHIRE DR, CLEARLAKE PARK, CA 95424, (415) 721-0772",25,"OLSON, CARL, 55 WEST OAK KNOLL DR, SAN ANSELMO, CA 94960"
KOLAIA LANDING MOBILE HOMES,LAKE,17-0151-MP,"8910 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 277-7180",12,"MAHY, DIXIE, 8910 SODA BAY ROAD G-2, KELSEYVILLE, CA 95451"
LEISURE ADULT MOBILE HOME PARK,LAKE,17-0158-MP,"14870 PARK ST, CLEARLAKE, CA 95422, (408) 876-7019",12,"75 FOUNDATION, PO BOX 20518, SAN JOSE, CA 95160"
THE LIGHTHOUSE,LAKE,17-0162-MP,"5895 OLD HWY 53, CLEARLAKE, CA 95422, (707) 995-1158",17,"GILBERT, BILL & LIANNE, PO BOX 620099, REDWOOD CITY, CA 94062"
ETTAWA SPRINGS RESORT,LAKE,17-0163-MP,"14051 ETTAWA SPRINGS RD, MIDDLETOWN, CA 95461, (415) 575-0802",0,"ETTAWA SPRINGS RESORT LLC, 14051 ETTAWA SPRINGS RD., MIDDLETOWN, CA 95461"
JOJOLA'S MOBIL PARK,LAKE,17-0164-MP,"4480 COUNTRY CLUB DR, LUCERNE, CA 95458, (707) 275-0309",2,"JOJOLA, EUGENE, PO BOX 96, LUCERNE, CA 95458"
MEADOW POINTE MANUFACTURED HOUSING COMMUNITY,LAKE,17-0165-MP,"375 E HWY 20, UPPER LAKE, CA 95485, (209) 932-8747",81,"MEADOW POINTE MANUFACTURED HOUSING COMMUNITY LLC, 6653 EMBARCADERO DR STE C, STOCKTON, CA 95219"
WESTERN HILLS MOBILE HOME PARK,LAKE,17-0166-MP,"3555 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 263-5762",16,"JOHNSON, JUDY, 591 RIVERSIDE DR, UKIAH, CA 95482"
IDLE WHEELS MHP,LAKE,17-0167-MP,"5701 LIVE OAK DR, KELSEYVILLE, CA 95451, (707) 279-4997",83,"IDLE WHEELS MOBILE HOME PARK, LLC, PO BOX 7537, MENLO PARK, CA 94026"
BLUE LAKES MOBILE HOME PARK,LAKE,17-0168-MP,"5305 BLUE LAKE RD, UPPER LAKE, CA 95485, (650) 400-3600",25,"BLUE LAKES PROPERTIES LLC, PO BOX 25203, SAN MATEO, CA 94402"
WESTLAKE MOBILE HOME PARK,LAKE,17-0169-MP,"2791 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 492-6424",18,"KIMMEL, GARY & GAY, PO BOX 35, POTTER VALLEY, CA 95469"
SEVEN OAKS MHP,LAKE,17-0178-MP,"15835 SHAWNEE CIR, MIDDLETOWN, CA 95461, (707) 928-5980",3,"BARBARA ROBINSON/THOMAS D WILLIAMS, 12110 SHENANDOAH RD, MIDDLETOWN, CA 95461"
LORRAINE VILLAGE PARK,LAKE,17-0179-MP,"5890 E HWY 20, LUCERNE, CA 95458, (707) 274-1840",63,"LORRAINE VILLAGE, LLC, C/O DS PROPERTY MGMT 18124 WEDGE PARKWAY # 182, RENO, NV 89511"
HIDDEN VALLEY LAKE CAMPGROUNDS,LAKE,17-0180-MP,"18174 HIDDEN VALLEY RD, HIDDEN VALLEY LAKE, CA 95467, (707) 987-3138",0,"HIDDEN VALLEY LAKE ASSOCIATION, 18174 HIDDEN VALLEY RD, HIDDEN VALLEY LAKE, CA 95467"
CREEKSIDE MHP,LAKE,17-0181-MP,"16425 DAM RD, CLEARLAKE, CA 95422, (707) 995-1216",46,"STINSON FAMILY TRUST, PO BOX 1635, KINGSTON, WA 98346"
TORRI MOBILE PARK,LAKE,17-0182-MP,"3510 HWY 175, LAKEPORT, CA 95453, (702) 459-2119",6,"MASSEY, JAN, GREGORY L. EVANS 4605 ARROWROOT AVE, LAS VEGAS, NV 89110"
THE NARROWS FAMILY RESORT,LAKE,17-0188-MP,"5690 BLUE LAKES TOLL RD, UPPER LAKE, CA 95485, (707) 275-2718",0,"THE NARROWS FAMILY RESORT CORPORATION, 5690 BLUE LAKES RD, UPPER LAKE, CA 95485"
VANDERCOOK MHP,LAKE,17-0191-MP,"5217 SWEDBERG RD, LOWER LAKE, CA 95457, (707) 275-2718",3,"VANDERCOOK, EARL, 2619 LAND PARK DR, SACRAMENTO, CA 95818"
AQUA VILLAGE,LAKE,17-0193-MP,"1350 S MAIN ST, LAKEPORT, CA 95453, (707) 263-5867",33,"REVELLI, BRAD, PO BOX 231006, PLEASANT HILL, CA 94523"
LAKEPORT LAGOONS,LAKE,17-0196-MP,"1800 S MAIN ST, LAKEPORT, CA 95453, (707) 263-4113",96,"ARTON INC, 570 EL CAMINO REAL #220, REDWOOD CITY, CA 94063"
SCHEUER TP,LAKE,17-0197-MP,"4101 CHURCH, KELSEYVILLE, CA 95451, (707) 279-1240",4,"SCHEUER, ANGELINA, 2652 HILL ROAD EAST, LAKEPORT, CA 95453"
COUNTRYWOOD ESTATES,LAKE,17-0201-MP,"4035 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 279-8449",20,"COUNTRYWOOD ESTATES LLC, 969-G EDGEWATER BLVD SUITE # 237, FOSTER CITY, CA 94404"
KELSEY GARDEN MHP,LAKE,17-0204-MP,"5226 4TH ST, KELSEYVILLE, CA 95451, (707) 279-1251",36,"FRINGE PLAYERS LAKE, LLC, 80 LONGFELLOW, MILL VALLEY, CA 94941"
WALNUT ESTATES,LAKE,17-0205-MP,"5495 5TH ST, KELSEYVILLE, CA 95451, (707) 279-1412",39,"LEDFORD, BRUCE & SANDRA, 3323 DEERWOOD DR, UKIAH, CA 95482"
FAIRGROUNDS VILLAGE MHP,LAKE,17-0214-MP,"1025 MARTIN ST, LAKEPORT, CA 95453, (707) 262-1588",56,"OAKHILL PROPERTIES I , LLC, PO BOX 2308, LAGUNA HILLS, CA 92654"
STONES MHP,LAKE,17-0220-MP,"13610 EASTLAKE DR, CLEARLAKE, CA 95422, (707) 995-1647",3,"STONE, SERENA, 5817 HURON AVE, CLEARLAKE, CA 95422"
WILDWOOD,LAKE,17-0221-MP,"2699 SCOTTS CREEK RD #5, LAKEPORT, CA 95453, (707) 263-6745",0,"WEASELBEAR HOLDINGS LLC, PO BOX 2318, BATTLE GROUND, WA 98604"
DALE DE BRUIN MHP,LAKE,17-0224-MP,"3268 LAKESHORE BLVD, NICE, CA 95464, (707) 263-6745",4,"DEBRUIN, DALE, 27850 CANYON RD, LOS ALTOS, CA 94022"
GOODPASTURE MHP,LAKE,17-0227-MP,"5665 MAIN ST, KELSEYVILLE, CA 95451, (707) 279-0414",7,"POUNDS, GARY, 5665 MAIN ST #7, KELSEYVILLE, CA 95451"
PINE ACRES RESORT,LAKE,17-0228-MP,"5328 BLUE LAKE RD, UPPER LAKE, CA 95485, (707) 275-2811",0,"ELGAAEN, JOANNE, 75 REVERE CT, LAFAYETTE, CA 94549"
BROWNS LAKESIDE,LAKE,17-0231-MP,"3367 LAKESHORE BLVD, NICE, CA 95464, (707) 274-6657",6,"BROWN, JONATHANVONDA, PO BOX 129, NICE, CA 95464"
KELSEY CREEK MOBILE HOME PARK,LAKE,17-0232-MP,"5725 LIVE OAK DR, KELSEYVILLE, CA 95451, (707) 279-8449",71,"KELSEY CREEK MHP, LLC, 3050 FITE CIRCLE SUITE # 210, SACRAMENTO, CA 95827"
SOUTHSHORE MHP,LAKE,17-0233-MP,"5725 OLD HWY 53, CLEARLAKE, CA 95422, (707) 994-9320",16,"BERRY, ROBERT/AGGIE, PO BOX 3788, CLEARLAKE, CA 95422"
JENSENS COVE,LAKE,17-0235-MP,"4850 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 263-1113",12,"JENSEN, SHIRLEY, 4850 LAKESHORE BLVD, LAKEPORT, CA 95453"
VISTA DEL LAGO,LAKE,17-0236-MP,"14103 LAKESHORE DR, CLEARLAKE, CA 95422, (707) 998-1932",5,"WATERS EDGE INVESTMENTS INC, 3566 PINE AVE, CLEARLAKE, CA 95422"
BIG PINES CAMPGROUND,LAKE,17-0237-MP,"12475 HWY 175, LOCH LOMOND, CA 95461, (925) 417-1254",1,"BLYAKHMAN, YAKOV, 6623 SANTA ISABELA #117, CARLSBAD, CA 92009"
LAKESIDE VILLAGE MHP,LAKE,17-0238-MP,"5330 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 695-8880",49,"PACIFIC HOUSING INVESTMENTS LLC, PO BOX 1060, CORVALLIS, MT 59828"
SYBIL L FRANCES MHP,LAKE,17-0240-MP,"8890 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 277-7448",17,"FRANCES, SYBIL, PO BOX 1567, KELSEYVILLE, CA 95451"
LAUREL DELL MHP,LAKE,17-0241-MP,"4930 W HWY 20, UPPER LAKE, CA 95485, (831) 625-9839",15,"WETHINGTON, JOAN, PO BOX 1883, MARINA, CA 93933"
LAKE VILLAGE ESTATES,LAKE,17-0243-MP,"400 SULPHUR BANK DR, CLEARLAKE OAKS, CA 95423, (707) 998-3357",158,"BARRON, DENA, 400 SULPHUR BANK DR #24, CLEARLAKE OAKS, CA 95423"
5050 MHP,LAKE,17-0244-MP,"5050 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 262-0443",8,"NPN INVESTMENTS, LLC C/O STEVE NAVARRO, PO BOX 14045, OAKLAND, CA 94614"
LAKESHORE ESTATES MHP,LAKE,17-0245-MP,"3075 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 263-7931",28,"MCQUEEN, BRIDGET, 18775 MARTHA AVENUE, SARATOGA, CA 95070"
LAKEFRONT MOBILE HOME PARK,LAKE,17-0247-MP,"5545 OLD HWY 53, CLEARLAKE, CA 95422, (707) 994-1194",16,"CALIFORNIA MOBILE HOME PARK INVESTORS 3 LLC, 6653 EMBARCADERO DR SUITE # C, STOCKTON, CA 95219"
KONOCTI ESTATES JOINT VENTURE MHP,LAKE,17-0248-MP,"8939 SODA BAY RD, KELSEYVILLE, CA 95451, (707) 994-1194",13,"KONOCTI ESTATES JOINT VENTURE MOBILEHOME PARK, C/O FRANK HEDLEY 519 HAWTHORNE AVE, SAN BRUNO, CA 94066"
MANDALA,LAKE,17-0250-MP,"14117 BOTTLE ROCK RD, COBB, CA 95426, (707) 928-4322",1,"GOFF, RAOUL, 800 A STREET, SAN RAFAEL, CA 94901"
THE CASTLEWOOD ESTATES,LAKE,17-0251-MP,"6763 COLLIER AVE, UPPER LAKE, CA 95485, (707) 695-8880",16,"CASTLEWOOD ESTATES LLC, PO BOX 1060, CORVALLIS, MT 59828"
BY THE LAKE MHP,LAKE,17-0252-MP,"2776 LAKESHORE BLVD, LAKEPORT, CA 95453, (707) 263-0273",6,"FLETCHER, RICHARD, 2776 LAKESHORE BLVD #25, LAKEPORT, CA 95453"
THE AURORA RV PARK & MARINA,LAKE,17-0254-MP,"2985 LAKESHORE BLVD, NICE, CA 95464, (707) 275-0527",0,"NEWDOW, MICHAEL, 7660 EL DOURO DR, SACRAMENTO, CA 95831"
BEAR CREEK CAMPGROUND,LAKE,17-11321-MP,"2168 BEAR CREEK RD MENDOCINO NATIONAL FOREST, UPPER LAKE, CA 95485, (650) 595-3559",0,"MENDOZA, ALVARO, PO BOX 262, UPPER LAKE, CA 95485"
TWIN OAKS VILLAGE,LAKE,17-12726-MP,"5755 OLD HWY 53, CLEARLAKE, CA 95422, (707) 279-9062",16,"CARROLL, JAMES, PO BOX 1616, KELSEYVILLE, CA 95451"
MILFORD ESTATES,LASSEN,18-0001-MP,"HWY 395     450-255, MILFORD, CA 96121, (530) 253-3601",7,"BEJCEK 2016 FAMILY TRUST, PO BOX 249, JANESVILLE, CA 96114"
SEVEN ACRES MHP,LASSEN,18-0002-MP,"721 720 TULE AVE, LITCHFIELD, CA 96117, (530) 386-3497",16,"JINKS, WILLIAM, PO BOX 287, LITCHFIELD, CA 96117"
SLEEPY HOLLOW MHP,LASSEN,18-0004-MP,"2000 ASH P.O. BOX 806, SUSANVILLE, CA 96130, (530) 257-6463",28,"CANALE, BERARD & NOLEN, JOEL, 1501-A RIVERSIDE DR, SUSANVILLE, CA 96130"
EAGLE LAKE RV PARK,LASSEN,18-0006-MP,"687-125 PALMETTO WAY, SUSANVILLE, CA 96130, (530) 825-3133",1,"SCHMITT, SYLVIA, 18135 CLEAR CREEK RD., REDDING, CA 96001"
WINDBREAK MOBILE HOME PARK,LASSEN,18-0009-MP,"436-975 RIVERVIEW DR, DOYLE, CA 96109, (530) 575-6224",11,"SCHAUFFLER, WILLIAM, PO BOX 1402, GRASS VALLEY, CA 95945"
FAIR VIEW MHP,LASSEN,18-0010-MP,"165 RUSSELL AVE, SUSANVILLE, CA 96130, (530) 253-2149",20,"PATRICK J MATTINGLY AND SUZANNE G MATTINGLY FAMILY TRUST DATED 10/26/95, PO BOX 747, JANESVILLE, CA 96114"
SUSANVILLE VILLAGE LLC,LASSEN,18-0011-MP,"702 715 OLD JOHNSTONVILLE RD, SUSANVILLE, CA 96130, (916) 803-1031",49,"SUSANVILLE VILLAGE LLC, PO BOX 1565, WESTWOOD, CA 96137"
WAGON WHEEL MHP,LASSEN,18-0013-MP,"290 RUSSELL AVE, SUSANVILLE, CA 96130, (530) 257-2917",21,"BROWN, JESS, PO BOX 1091, CAPITOLA, CA 95010"
OAK HAVEN PARK,LASSEN,18-0014-MP,"463-405 MOUNTAIN WAY, JANESVILLE, CA 96114, (530) 310-0043",11,"INSLEY, CARRIE, PO BOX 801, JANESVILLE, CA 96114"
HERLONG MHP,LASSEN,18-0015-MP,"740-970 ARROYO DR, HERLONG, CA 96113, (530) 827-2119",63,"HMHP INC., PO BOX 830, FAIR OAKS, CA 95628"
ROCKY CREST MOBILE HOME PARK,LASSEN,18-0016-MP,"697-100 HWY 36, SUSANVILLE, CA 96127, (530) 265-3194",20,"RCMHP LLC, 806 LINCOLN AVE., ALAMEDA, CA 94501"
LASSEN MHP,LASSEN,18-0017-MP,"704- 550 BANGHAM LN, SUSANVILLE, CA 96130, (530) 257-3559",28,"LASSEN MHP, LLC, 647 CAMINO DE LOS MARES #108-70, SAN CLEMENTE, CA 92673"
COUNTRY CLUB CTS,LASSEN,18-0018-MP,"470-070 WINGFIELD RD, SUSANVILLE, CA 96130, (530) 257-2723",15,"ELLENA, JULIA & WILLIAM, 470-290 WINGFIELD RD, SUSANVILLE, CA 96130"
PINE VIEW MHP,LASSEN,18-0022-MP,"2000 PAIUTE LN, SUSANVILLE, CA 96130, (530) 310-8743",46,"PINE VIEW SUSANVILLE LLC, PO BOX 1084, CEDAR GLEN, CA 92321"
HONEY LAKE CAMPGROUND,LASSEN,18-0023-MP,"HWY 395, 2MI N OF MILFORD, MILFORD, CA 96121, (530) 253-2508",15,"WYLIE, EDWARD & SANDRA, P. O. BOX 9, MILFORD, CA 96121"
HIDDEN ACRES MHP,LASSEN,18-0024-MP,"2965 JOHNSTONVILLE RD, SUSANVILLE, CA 96130, (530) 257-4520",101,"ALL IN PROPERTIES, LP & A AND P CAL PROPERTIES,LLC, A&P CAL PROPERTIES, LLC 5703 MCHENERY AVE, MODESTO, CA 95356"
RIVER ROOST MOBILE HOME PARK,LASSEN,18-0025-MP,"490 S LASSEN ST, SUSANVILLE, CA 96130, (530) 250-2913",21,"RIVER ROOST PROPERTIES LLC, 703-185 JOHNSTONVILLE RD, SUSANVILLE, CA 96130"
BIEBER MH & RV PARK,LASSEN,18-0026-MP,"304 2ND ST, BIEBER, CA 96009, (916) 933-1062",18,"HAWES, MICHAEL, 1620 LEAD HILL BLVD SUITE # 100, ROSEVILLE, CA 95661"
"LASSEN WEST VILLAGE, LLC",LASSEN,18-0029-MP,"464-815 MOONEY RD, WESTWOOD, CA 96137, (530) 676-8100",98,"LASSEN WEST VILLAGE, LLC, PO BOX 1565, WESTWOOD, CA 96137"
HONEY LAKE RANCH,LASSEN,18-0034-MP,"717-900  BLICKENSTAFF RD, JANESVILLE, CA 96114, (530) 253-3828",20,"HONEY LAKE RANCH, LLC, PO BOX 281, RENO, NV 89504"
WINDBREAK TRAILER PARK 2,LASSEN,18-0035-MP,"436-975 RIVERVIEW DR, DOYLE, CA 96109, (707) 339-1803",0,"SCHAUFFLER, WILLIAM, PO BOX 1402, GRASS VALLEY, CA 95945"
EAGLE LAKE RESORT RV PARK,LASSEN,18-0037-MP,"509 - 725 STONE RD, SUSANVILLE, CA 96130, (530) 825-3333",0,"SUNSET PROPERTIES, PO BOX 66, RAVENDALE, CA 96123"
MOUNTAIN VIEW MOBILE HOME PARK,LASSEN,18-0039-MP,"3075 JOHNSTONVILLE RD, SUSANVILLE, CA 96130, (530) 252-1347",34,"MOUNTAIN VIEW MHP HOMEOWNERS, 185 DIAMOND MOUNTAIN WAY, SUSANVILLE, CA 96130"
LASSEN RV RESORT,LASSEN,18-0040-MP,"548-335 OLD HIGHWAY ROAD, MCARTHUR, CA 96056, (530) 336-5657",0,"CAMPING INSPIRATIONS LLC, 548-335 OLD HIGHWAY RD, MCARTHUR, CA 96056"
DAYS END RV PARK,LASSEN,18-10400-MP,"718-755 U.S. HWY 395, STANDISH, CA 96128, (530) 254-1094",0,"REDDOCH, ARNOLD, BOX 198, STANDISH, CA 96128"
SUSANVILLE RV PARK,LASSEN,18-11921-MP,"3075 JOHNSTONVILLE RD., SUSANVILLE, CA 96130, (530) 251-4757",0,"DRUMM, MARIE, 29012 FRUITVALE LANE, VALLEY CENTER, CA 92082"
CHETS TRAILER PARK,LOS ANGELES,19-0001-MP,"4630 W ROSECRANS AVE #OFFICE, LAWNDALE, CA 90260, (310) 676-0663",49,"DOSHI, NAVINCHANDRA, 6418 SPRING PARK AVE, LOS ANGELES, CA 90056"
A & A MOBILE HOME PARK,LOS ANGELES,19-0003-MP,"7722 ATLANTIC BLVD, CUDAHY, CA 90201, (310) 676-0663",21,"A & A MHP LLC, 26895 ALISO CREEK RD #B876, ALISO VIEJO, CA 92656"
